Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C2, C5, C9",0402,11,100nF,C307331
"C10, C6",0402,2,4.7uF,C23733
"C3, C4, C8",0402,3,1uF,C52923
C7,0402,1,10nF,C15195
"D1, D2, D3, D4, D5, D6",SOD-123_ONS,6,Diode,C11177
F1,0603,1,500mA,C210357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"J2, J3",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,I2C1,C160258
J4,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,1,External PowerSupply,C471417
"LED1, LED2, LED3, LED4, LED5, LED6",LED_SK6812MINI,6,LED_SK6812MINI,C5149201
"R1, R2, R41, R42, R43, R44",0402,6,5.1k,C25905
R3,0402,1,10k,C25744
R4,0805,1,500Ω,C2828857
"S1, S2, S3, S4, S5, S6",MX_PCB_1.00u,6,Keyswitch,
SW1,SW_SPST_TL3342,1,SW_Push,C115351
U1,SOT-23-3,1,XC6206,C5446
U2,SOT-23-6_Handsoldering,1,USBLC6-2SC6,C2827654
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
