Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C16, C2, C22, C23, C24, C25, C26, C27, C28, C5, C9",0402,13,100nF,C307331
"C10, C6",0402,2,4.7uF,C23733
"C12, C13, C14, C15",0805,4,1nF,C94121
"C17, C21, C29, C30, C34, C35, C39, C40",0805,8,10uF,C15850
"C18, C31, C36, C41",0805,4,1uF,C28323
"C19, C32, C37, C42",0805,4,100nF,C49678
"C20, C33, C38, C43",0805,4,10nF,C1710
"C3, C4, C8",0402,3,1uF,C52923
C7,0402,1,10nF,C15195
"D1, D2, D3, D4, D5, D6, D7, D8",SOD-123_ONS,8,Diode,C11177
"D10, D11, D12, D9",LL-34,4,Motor Diode,C2891753
F1,0603,1,500mA,C210357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
"J10, J12, J6, J8",SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,4,motor_port_1,
"J11, J5, J7, J9",TRANS_TSM018NB03CR_RLG,4,MOSFET P-CH 40V 70A PDFN5x6-8L,C5297498
"J2, J3",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,I2C1,C160258
J4,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,External PowerSupply,C471417
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED_SK6812MINI,8,LED_SK6812MINI,C5149201
"R1, R2, R41, R42, R43, R44",0402,6,5.1k,C25905
"R10, R11, R12, R8, R9",0805,5,500Ω,C2828857
"R13, R18, R20, R25, R27, R32, R34, R39",0805,8,22kΩ,C2907243
"R14, R21, R28, R35",0805,4,1kΩ,C95781
"R15, R16, R17, R19, R22, R23, R24, R26, R29, R30, R31, R33, R36, R37, R38, R40",0805,16,0Ω,DNP
R3,0402,1,10k,C25744
"R4, R5, R6, R7",schieberegler-PTB0153-2010BPB103,4,PTB0153-2010BPB103,C17427549
"S1, S2, S3, S4, S5, S6, S7, S8",MX_PCB_1.00u,8,Keyswitch,
SW1,SW_SPST_TL3342,1,SW_Push,C115351
U1,SOT-23-3,1,XC6206,C5446
U2,SOT-23-6_Handsoldering,1,USBLC6-2SC6,C2827654
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
"U4, U5, U6, U7",RXY0014A-MFG,4,DRV8243HQRXYRQ1,C3040833
