Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,0402,,10V 4.7uF X5R ±20% 0402 Ceramic Capacitors RoHS,yes,100,50,50,0.0048,0.48,https://www.lcsc.com/product-detail/C23733.html
2,C112349,EC12D1524403,ALPSALPINE,Through Hole,,Through Hole Encoders RoHS,yes,8,1,1,0.7723,6.18,https://www.lcsc.com/product-detail/C112349.html
3,C81720,STM32F072CBT6,ST,LQFP-48(7x7),,ARM Cortex-M0 48MHz 37 LQFP-48(7x7) Microcontrollers RoHS,yes,5,1,1,1.3444,6.72,https://www.lcsc.com/product-detail/C81720.html
4,C2827654,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,,6A 12V 150W 6V Unidirectional 5V SOT-23-6 TVS Diodes RoHS,yes,30,10,10,0.0387,1.16,https://www.lcsc.com/product-detail/C2827654.html
5,C5446,XC6206P332MR-G,TOREX,SOT-23-3L,,"Positive Fixed 3.3V SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,65,5,5,0.0820,5.33,https://www.lcsc.com/product-detail/C5446.html
6,C115351,SKQGABE010,ALPSALPINE,"SMD-4P,5.2x5.2mm",,"12V 5.2mm Round Button 5.2mm SPST 50mA SMD-4P,5.2x5.2mm Tactile Switches RoHS",yes,65,5,5,0.0858,5.58,https://www.lcsc.com/product-detail/C115351.html
7,C25744,0402WGF1002TCE,UNI-ROYAL,0402,,10kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,200,100,100,0.0005,0.10,https://www.lcsc.com/product-detail/C25744.html
8,C25905,0402WGF5101TCE,UNI-ROYAL,0402,,5.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0005,0.05,https://www.lcsc.com/product-detail/C25905.html
9,C160258,B4B-EH-A(LF)(SN),JST,"Through Hole,P=2.5mm",,"4P EH 1x4P Tin -25℃~+85℃ White 2.5mm 250V 4 3A 1 Through Hole Through Hole,P=2.5mm Headers, Male Pins RoHS",yes,30,10,10,0.0556,1.67,https://www.lcsc.com/product-detail/C160258.html
10,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,"1 16P Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS",yes,15,5,5,0.1752,2.63,https://www.lcsc.com/product-detail/C165948.html
11,C210357,MF-FSMF050X-2,BOURNS,0603,,6V 500mA 40A 1A 100mΩ 0603 PTC Resettable Fuses RoHS,yes,60,20,20,0.0359,2.15,https://www.lcsc.com/product-detail/C210357.html
12,C11177,MMSD4148T1G,onsemi,SOD-123,,4ns 100V Independent 1V@10mA 200mA SOD-123 Single Diodes RoHS,yes,100,50,50,0.0214,2.14,https://www.lcsc.com/product-detail/C11177.html
13,C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,,50V 10nF X7R ±10% 0402 Ceramic Capacitors RoHS,yes,200,100,100,0.0014,0.28,https://www.lcsc.com/product-detail/C15195.html
