Designator,Mid X,Mid Y,Rotation,Layer
C1,178.3675,-66.34,180.0,top
C10,175.45,-78.04,90.0,top
C11,172.25,-78.04,270.0,top
C12,170.1,-113.7,180.0,top
C13,169.9675,-136.2,180.0,top
C14,170.0,-158.7,180.0,top
C15,170.1,-180.7764,180.0,top
C16,169.8,-203.1,180.0,top
C17,170.0,-223.0,180.0,top
C2,178.3675,-67.84,180.0,top
C3,176.55,-58.44,0.0,top
C4,166.15,-64.84,270.0,top
C5,167.75,-64.84,90.0,top
C6,177.45,-64.44,180.0,top
C7,164.75,-73.44,0.0,top
C8,169.25,-78.04,90.0,top
C9,173.85,-78.04,90.0,top
D1,172.8,-91.0,270.0,top
D2,174.7,-113.8,270.0,top
D3,176.0,-136.4,270.0,top
D4,176.7,-158.7,270.0,top
D5,177.2,-180.7764,270.0,top
D6,177.9,-203.3,270.0,top
F1,176.85,-56.84,0.0,top
J1,171.0,-42.24,180.0,top
J2,163.0,-65.05,90.0,bottom
J3,163.0,-51.25,90.0,bottom
LED1,170.2,-107.0,180.0,bottom
LED2,170.2,-129.7,180.0,bottom
LED3,170.1,-152.2,180.0,bottom
LED4,170.1,-174.4,180.0,bottom
LED5,170.2,-196.6,180.0,bottom
LED6,170.0,-219.0,180.0,bottom
R1,173.55,-49.64,0.0,top
R2,168.45,-49.54,180.0,top
R3,169.3,-81.7,180.0,top
R4,168.6,-87.9,90.0,top
R41,166.4,-62.1,0.0,top
R42,166.4,-63.1,0.0,top
R43,166.3,-53.0,0.0,top
R44,166.2,-57.4,0.0,top
S1,170.22,-100.235,0.0,top
S2,170.2,-123.035,0.0,top
S3,170.1,-145.435,0.0,top
S4,170.02,-167.635,0.0,top
S5,170.1,-189.835,0.0,top
S6,170.02,-212.335,0.0,top
SW1,164.5,-78.8,270.0,top
U1,175.95,-61.6775,270.0,top
U2,171.0,-55.14,270.0,top
U3,172.05,-70.64,0.0,top
