Designator,Mid X,Mid Y,Rotation,Layer
C1,157.05,-76.6,180.0,bottom
C10,160.55,-88.3,90.0,bottom
C11,164.1838,-88.3,270.0,bottom
C12,154.4625,-88.25,90.0,bottom
C13,172.75,-88.25,270.0,bottom
C14,175.5,-88.25,90.0,bottom
C15,157.2125,-88.25,270.0,bottom
C16,118.75,-68.75,180.0,bottom
C17,133.15,-209.075,90.0,bottom
C18,124.9,-209.325,90.0,bottom
C19,121.4,-209.325,90.0,bottom
C2,157.05,-78.1,180.0,bottom
C20,117.9,-209.325,90.0,bottom
C21,121.4,-204.075,270.0,bottom
C22,118.75,-88.25,180.0,bottom
C23,146.5,-68.75,180.0,bottom
C24,189.75,-68.75,180.0,bottom
C25,217.5,-68.5,180.0,bottom
C26,146.6825,-88.25,180.0,bottom
C27,190.0,-88.25,180.0,bottom
C28,217.75,-88.25,180.0,bottom
C29,145.25,-185.0,270.0,bottom
C3,159.45,-68.7,0.0,bottom
C30,157.75,-190.2125,90.0,bottom
C31,149.0,-190.25,90.0,bottom
C32,145.25,-190.25,90.0,bottom
C33,141.5,-190.25,90.0,bottom
C34,176.25,-210.5,90.0,bottom
C35,167.0,-210.5,90.0,bottom
C36,163.25,-210.5,90.0,bottom
C37,159.5,-210.5,90.0,bottom
C38,163.25,-205.0,270.0,bottom
C39,205.25,-209.85,90.0,bottom
C4,169.85,-75.1,270.0,bottom
C40,195.75,-209.85,90.0,bottom
C41,192.0,-209.85,90.0,bottom
C42,188.0,-209.85,90.0,bottom
C43,192.0,-204.1,270.0,bottom
C5,168.25,-75.1,90.0,bottom
C6,158.55,-74.7,180.0,bottom
C7,170.0,-84.31,90.0,bottom
C8,166.75,-88.3,90.0,bottom
C9,162.15,-88.3,90.0,bottom
D1,124.5,-69.0736,90.0,bottom
D10,163.75,-184.0,180.0,bottom
D11,182.25,-204.5,180.0,bottom
D12,211.25,-203.85,180.0,bottom
D2,152.25,-70.25,90.0,bottom
D3,195.25,-70.0,90.0,bottom
D4,222.75,-69.5,90.0,bottom
D5,124.25,-80.0,90.0,bottom
D6,152.0,-80.0,90.0,bottom
D7,195.5,-79.8236,90.0,bottom
D8,223.25,-79.75,90.0,bottom
D9,139.0625,-203.025,180.0,bottom
F1,159.15,-67.1,0.0,bottom
J1,165.0,-52.5,180.0,bottom
J11,210.905,-212.02,270.0,bottom
J2,200.75,-57.75,90.0,bottom
J3,129.75,-57.5,90.0,bottom
J4,164.995,-168.0,180.0,bottom
J5,138.6775,-211.105,270.0,bottom
J7,163.5,-192.25,270.0,bottom
J9,181.905,-212.67,270.0,bottom
LED1,115.5,-64.5,180.0,bottom
LED2,143.25,-64.75,180.0,bottom
LED3,186.5,-64.75,180.0,bottom
LED4,214.25,-64.75,180.0,bottom
LED5,115.5,-84.0,180.0,bottom
LED6,143.5,-84.25,180.0,bottom
LED7,186.75,-84.25,180.0,bottom
LED8,214.5,-84.25,180.0,bottom
R1,162.45,-59.9,0.0,bottom
R10,174.25,-91.75,180.0,bottom
R11,155.4625,-91.75,0.0,bottom
R12,196.5,-90.0,180.0,bottom
R13,139.5625,-199.775,0.0,bottom
R14,124.3125,-201.775,90.0,bottom
R18,128.3125,-201.775,90.0,bottom
R2,167.55,-59.8,180.0,bottom
R20,164.25,-180.75,0.0,bottom
R21,148.5,-182.75,90.0,bottom
R25,152.5,-182.75,90.0,bottom
R27,182.75,-201.25,0.0,bottom
R28,166.75,-203.25,90.0,bottom
R3,159.0,-96.9232,270.0,bottom
R32,170.75,-203.25,90.0,bottom
R34,211.75,-200.35,0.0,bottom
R35,195.75,-202.6,90.0,bottom
R39,199.75,-202.6,90.0,bottom
R4,117.672849,-156.0,90.0,top
R41,196.7,-59.5,0.0,bottom
R42,196.7,-61.6,0.0,bottom
R43,133.3,-55.6,180.0,bottom
R44,133.3,-57.9,180.0,bottom
R5,145.672849,-156.0,90.0,top
R6,189.172849,-156.0,90.0,top
R7,217.172849,-156.0,90.0,top
R8,136.0,-69.5,180.0,bottom
R9,134.0,-90.0,0.0,bottom
S1,115.46,-57.665,0.0,top
S2,143.31,-57.665,0.0,top
S3,186.56,-57.665,0.0,top
S4,214.33,-57.625,0.0,top
S5,115.46,-77.165,0.0,top
S6,143.31,-77.165,0.0,top
S7,186.56,-77.205,0.0,top
S8,214.33,-77.125,0.0,top
SW1,164.0,-96.8232,0.0,bottom
U1,160.05,-71.9375,270.0,bottom
U2,165.0,-65.4,270.0,bottom
U3,163.95,-80.9,0.0,bottom
U4,129.4,-208.125,0.0,bottom
U5,153.6,-189.15,0.0,bottom
U6,171.75,-209.55,0.0,bottom
U7,200.75,-208.65,0.0,bottom
