Designator,Mid X,Mid Y,Rotation,Layer
C1,141.45,-66.6,180.0,bottom
C10,144.95,-78.3,90.0,bottom
C11,148.15,-78.3,270.0,bottom
C12,136.3,-54.4,0.0,bottom
C13,112.6,-54.4,180.0,bottom
C14,187.15,-54.4607,0.0,bottom
C15,163.15,-54.4375,180.0,bottom
C16,136.8,-74.4375,0.0,bottom
C17,187.0675,-74.4,0.0,bottom
C18,112.4,-74.4375,180.0,bottom
C19,163.2,-74.5,180.0,bottom
C2,141.45,-68.1,180.0,bottom
C3,143.85,-58.7,0.0,bottom
C4,154.25,-65.1,270.0,bottom
C5,152.65,-65.1,90.0,bottom
C6,142.95,-64.7,180.0,bottom
C7,155.65,-73.7,0.0,bottom
C8,151.15,-78.3,90.0,bottom
C9,146.55,-78.3,90.0,bottom
D1,136.7,-98.9,90.0,bottom
D2,163.2,-101.9,90.0,bottom
F1,143.55,-57.1,0.0,bottom
J1,149.4,-42.5,180.0,bottom
J2,132.7,-44.4,180.0,bottom
J3,166.2,-44.4,180.0,bottom
R1,146.85,-49.9,0.0,bottom
R10,163.15,-56.9375,180.0,bottom
R11,187.15,-56.9375,180.0,bottom
R12,112.4,-76.8375,180.0,bottom
R13,136.8,-76.9375,180.0,bottom
R14,163.2,-76.9,180.0,bottom
R15,187.1,-77.0,180.0,bottom
R2,151.95,-49.8,180.0,bottom
R3,153.7,-84.7,90.0,bottom
R4,128.95,-47.8,270.0,bottom
R5,162.5,-47.8325,270.0,bottom
R6,165.0,-47.9,270.0,bottom
R7,131.45,-47.8,270.0,bottom
R8,112.5675,-56.8,180.0,bottom
R9,136.3,-56.8,180.0,bottom
S1,125.42,-97.235,0.0,top
S2,174.61,-97.175,0.0,top
SW1,148.1,-84.8,180.0,bottom
U1,144.45,-61.9375,270.0,bottom
U2,149.4,-55.4,270.0,bottom
U3,148.35,-70.9,0.0,bottom
U4,124.9,-57.25,0.0,top
U5,175.15,-57.3,0.0,top
U6,125.0,-77.2,0.0,top
U7,175.2,-77.3,0.0,top
